NL_query,Gold_SQL_query
Find all classifications associated with a column whose description contains the term 'knowledge'.,select t1.short_name from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t3.description like '%knowledge%'
Show the size of all files in the lake ordered from the biggest to the smallest.,select fsize from node_file order by fsize desc
List all tables that have more than 25 rows.,"select short_name, num_rows from node_table where num_rows > 25"
Display the name and description for all databases.,"select short_name, description from node_database"
Show the mean size of a subdirectory within each directory.,"select t1.short_name, avg(t3.dsize)  from node_directory as t1 join edge_has_dir_dir as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
Show the columns that have the word 'water' in their name or description?,select * from node_column where short_name like '%water%' or description like '%water%'
Give me the id and name for all columns with at least one label.,"select distinct t1.node_id, t1.short_name from node_column as t1 join edge_assoc as t2 on t1.node_id = t2.target_node_id"
Count the number of assets of each type owned by each user.,"select t1.node_id, t1.short_name, t3.type_id, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name, t3.type_id"
How many columns does each asset owner own?,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
What is the average size of files with each different extension?,"select extension, avg(fsize) from node_file group by extension"
Order all column in the lake from newest to oldest.,"select short_name, creation_date from node_column order by creation_date desc"
How many tables were derived from each table in the lake in the past 24 hours?,"select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_derive_table_table as t2 on t1.node_id = t2.source_node_id where t2.creation_date >= now() - interval '24 hours' group by t1.node_id, t1.short_name"
Count the total number of tables in the lake.,select count(*) from node_table
Show the names of all the columns in the data lake along with the table that they belong to.,"select t3.short_name, t1.short_name from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id"
Show the names and creation date of the 5 oldest derived tables.,"select t1.short_name, t1.creation_date from node_table as t1 join edge_derive_table_table as t2 on t1.node_id = t2.target_node_id order by t1.creation_date asc limit 5"
"Show the short name, long name and description for the job candidate table.","select short_name, long_name, description from node_table where short_name = 'job_candidate'"
Find all tables whose name contains 'weight' as a prefix and has a column which contains 'building' as a prefix.,select t1.short_name from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name like 'weight%' and t3.short_name like 'building%'
Display all records for any 10 assets in the lake.,select * from node limit 10
Find all classifications associated with a column whose description contains the term 'knowledge'.,select t1.short_name from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t3.description like '%knowledge%'
Give me the names and long names of all directories which have a mean subdirectory size greater than 5kb.,"select t1.short_name, t1.description, avg(t3.dsize) from node_directory as t1 join edge_has_dir_dir as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name, t1.description having avg(t3.dsize) > 5"
Show the number of columns that each business term has been assigned to in the past 50 days.,"select t1.short_name, count(*) from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id where t2.creation_date >= now() - interval '50 days' group by t1.node_id, t1.short_name"
How many assets are owned by each account older than 2 years?,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id where t1.creation_date <= now() - interval '2 years' group by t1.node_id, t1.short_name"
"Display short name, long name and description for the password salt column.","select short_name, long_name, description from node_column where short_name = 'passwd_salt'"
Show the average size of a file directly inside each folder in the lake.,"select t1.short_name, avg(t3.fsize)  from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
"Display the name, long name, description and last modification date for the document owner column?","select short_name, long_name, description, modified_date from node_column where short_name = 'doc_owr'"
Print the creation and last modification timestamp for the human resources directory.,"select creation_date, modified_date from node_directory where short_name = 'human_resources'"
"Among assets created in the past one day, show the number of assets owned by each user account id.","select source_node_id, count(*) from edge_own where creation_date >= now() - interval '24 hours' group by source_node_id "
Display the number of folders belonging to each asset owner.,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
How many columns of type 'integer' are present in the lake?,select count(*) from node_column where col_type = 'int'
How many columns does each table in the lake contain?,"select short_name, num_cols from node_table"
Show all metadata for 'has' relations.,select * from edge_has
Which directories does the directory 'part2' contain?,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'part2'
"Print short name, long name and description for files in the HR directory.","select t3.short_name, t3.long_name, t3.description from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t3.short_name = 'human_resources'"
List all the files owned by 'asmith'.,select t1.short_name from node_file as t1 join edge_own as t2 on t1.node_id = t2.target_node_id join node_owner as t3 on t2.source_node_id = t3.node_id where t3.short_name = 'asmith'
Show the type and length for all columns in the lake within tables that have the word 'vehicle' in their names.,"select t3.short_name, t3.col_type, t3.max_col_length from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name like '%vehicle%'"
Find all tables in the lake derived from xlsx files.,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.extension = 'xlsx'
Show the creation date and description for the address table.,"select creation_date, description from node_table where short_name = 'address'"
Print the mean directory size for each asset owner account.,"select t1.node_id, t1.short_name, avg(t3.dsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
Show all columns of type boolean.,select short_name from node_column where col_type = 'bool'
"Show the creation date, last modified date and descriptions for all labels in the data lake.","select creation_date, description from node_label"
Which files contain a table with the term 'country' in their name?,select t1.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t3.short_name like '%country%'
Find the total size of files owned by each asset owner that owns 5 files or more.,"select t1.short_name, sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name having count(*) >= 5"
List all users who own exactly 5 assets,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name having count(*) = 5"
"For each owner account, calculate the average size of a file added in the past month.","select t1.node_id, t1.short_name, sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t3.creation_date >= now() - interval '30 days' group by t1.node_id, t1.short_name"
"Print the creation date, description and last modification date for the database named 'sales_db'.","select creation_date, description, modified_date from node_database where short_name = 'sales_db'"
Display all records for the employee master database.,select * from node_rdbms where short_name = 'employee_db'
What are 10 biggest tables by row counts?,"select short_name, num_rows from node_table order by num_rows limit 10"
List all records for the tables named 'fact_sales_quota'.,select * from node_table where short_name = 'fact_sales_quota'
"Print the name, long name and description for the directory named 'dbo'.","select short_name, long_name, description from node_directory where short_name = 'dbo'"
Find all columns whose name or description contains the term 'id'.,"select short_name, description from node_column where short_name like '%id%' or description like '%id%'"
Show the type and creation date for all databases in the lake.,"select short_name, database_type, creation_date from node_database"
How many assets of each type are there in the lake?,"select type_name, count(*) from node group by type_id, type_name"
"For each table, how many other tables can be joined with it?","select t1.short_name, count(*) from node_table as t1 join edge_joinable_table_table as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name"
Order files by extension and from oldest to newest.,"select short_name, extension, creation_date from node_file order by extension asc, creation_date asc"
How many nodes are present in the lake?,select count(*) from node
Show the extension and size of the 25 most recently created files.,"select extension, fsize, creation_date from node_file order by creation_date desc limit 25"
Display creation full name and description for the classification labeled 'state'.,"select long_name, description from node_classification where short_name = 'state'"
Show all metadata for label association relationships created in the past week.,select * from edge_assoc where creation_date >= now() - interval '7 days'
When was each business term created?,"select short_name, creation_date from node_business_term"
Which are the relational databases in the lake owned by 'cslab'?,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_rdbms as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'cslab'
Count the number of columns for all tables created in the last one week.,"select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id where t1.creation_date >= now() - interval '7 days' group by t1.node_id, t1.short_name"
Count the number of different types of files in the lake?,select count(distinct extension) from node_file
Show the database type and last modified date for all databases that were last modified in the past 30 days.,"select database_type, modified_date from node_database where modified_date >= now() - interval '30 days'"
Find all tables in the lake that have 5 columns or more.,"select short_name, num_cols from node_table where num_cols >= 5"
List all directory names with size greater than 1MB.,select short_name from node_directory where dsize > 1000
Show the names of the last 5 modified directories.,"select short_name, modified_date from node_directory order by modified_date desc"
Show all files with the extension and size in the lake.,"select short_name, extension, fsize from node_file"
"Show all tables that have 10 or more rows, 10 or more columns and were created in the last 10 days.",select short_name from node_table where num_rows >= 10 and num_cols >= 10 and creation_date >= now() - interval '10 days'
List all tables that are unionable with the table 'swim_for_life'.,select t1.short_name from node_table as t1 join edge_unionable_table_table as t2 on t1.node_id = t2.target_node_id join node_table as t3 on t2.source_node_id = t3.node_id where t3.short_name = 'swim_for_life'
Count owner accounts.,select count(*) from node_owner
What are the folders present in the lake?,select short_name from node_directory
"For each table, count the number of columns associated with the classification 'customer'.","select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join edge_assoc_class_col as t3 on t2.target_node_id = t3.target_node_id join node_classification as t4 on t3.source_node_id = t4.node_id where t4.short_name = 'customer' group by t1.node_id, t1.short_name"
"Print the creation date, description and last modification date for the sales database.","select creation_date, description, modified_date from node_database where short_name = 'sales_db'"
How many columns does each asset owner own?,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
List all assets owned by 'cslab'.,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'cslab'
Show the type ids and counts for each asset type that contains more than 25 instances.,"select type_id, count(*) from node group by type_id having count(*) > 25"
Print all records created in the past 3 days for relations outlining a column within a table.,select * from edge_has_table_col where creation_date >= now() - interval '3 days'
Order the csv files in the data lake from the most recently created to the least recently created.,select short_name from node_file where extension = 'csv' order by creation_date desc
"Display the column type, column length and description for each column with length greater than 100 characters.","select short_name, col_type, max_col_length, description from node_column where max_col_length > 100"
"Show the name, long name and description for all folders that contain at least one file directly inside them.","select t1.short_name, t1.long_name, t1.description from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id"
Which tables were obtained from files with the prefix 'watershed_water_quality'?,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name like 'watershed_water_quality%'
"Print short name, long name and description for files in the HR directory.","select t3.short_name, t3.long_name, t3.description from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t3.short_name = 'human_resources'"
Show the total size of all files added in the last 30 days for each owner account.,"select t1.node_id, t1.short_name, sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t3.creation_date >= now() - interval '30 days' group by t1.node_id, t1.short_name"
Show all metadata records for all classification label column association relations.,select * from edge_assoc_class_col
Print the creation dates and descriptions of all business terms in the lake.,"select short_name, creation_date, description from node_business_term"
Which are the columns that are associated with the classification 'enterprise'?,select t3.short_name from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'enterprise'
What are the 25 oldest folders in the data lake?,"select short_name, creation_date from node_directory order by creation_date asc limit 25"
Find all assets with the term 'prod' in it's name or description.,"select short_name, description from node where short_name like '%prod%' or description like '%prod%'"
Locate records for all columns named 'std_cost'.,select * from node_column where short_name = 'std_cost'
How many total relations are represented in the data lake?,select count(*) from edge
What are the files and folders directly under folder 'sales'?,select t3.short_name from node_directory as t1 join edge_has as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'sales'
List all records for the csv file named 'prospective_buyer'.,select * from node_file where short_name = 'prospective_buyer' and extension = 'csv'
Which assets have the word 'scenario' in their name or description?,"select short_name, description from node where short_name like '%scenario%' or description like '%scenario%'"
List the top 10 people who own the most relational databases.,"select t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_rdbms as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name order by count(*) limit 10"
Count the number of nodes in the graph for the lake.,select count(*) from node
Print all metadata for joinable table relationships created in the past 3 days.,select * from edge_joinable_table_table where creation_date >= now() - interval '3 days'
Sort databases in the lake by their last modified timestamp.,select short_name from node_database order by modified_date desc
Show the number of assets owned by all accounts that have been modified in the past 1 day. The owner name must be detailed.,"select t1.long_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id where t1.modified_date >= now() - interval '24 hours' group by t1.node_id, t1.long_name"
